rd,prime,buffer_from,buffer_to,packet_id,injection_rd
47,1,4,5,49,43
47,1,3,4,50,46
47,1,2,3,51,46
47,1,1,2,52,46
47,1,0,1,53,47
47,1,0,-1,54,47
48,0,8,9,44,37
48,0,7,8,46,38
48,0,6,7,47,40
48,0,5,6,48,43
48,0,4,5,49,43
48,0,3,4,50,46
48,0,2,3,51,46
48,0,1,2,52,46
48,0,0,1,53,47
48,0,0,-1,54,47
48,0,-1,-2,55,48
48,1,8,9,46,38
48,1,7,8,47,40
48,1,6,7,48,43
48,1,5,6,49,43
48,1,4,5,50,46
48,1,3,4,52,46
48,1,2,3,51,46
48,1,1,2,53,47
48,1,0,1,54,47
48,1,0,-1,55,48
49,0,8,9,46,38
49,0,7,8,47,40
49,0,6,7,48,43
49,0,5,6,49,43
49,0,4,5,50,46
49,0,3,4,52,46
49,0,2,3,51,46
49,0,1,2,53,47
49,0,0,1,54,47
49,0,0,-1,55,48
49,0,-1,-2,56,49
49,1,8,9,47,40
49,1,7,8,48,43
49,1,6,7,49,43
49,1,5,6,50,46
49,1,4,5,52,46
49,1,3,4,51,46
49,1,2,3,53,47
49,1,1,2,54,47
49,1,0,1,55,48
49,1,0,-1,56,49
50,0,8,9,47,40
50,0,7,8,48,43
50,0,6,7,49,43
50,0,5,6,50,46
50,0,4,5,52,46
50,0,3,4,51,46
50,0,2,3,53,47
50,0,1,2,54,47
50,0,0,1,55,48
50,0,0,-1,56,49
50,0,-1,-2,57,50
50,1,8,9,48,43
50,1,7,8,49,43
50,1,6,7,50,46
50,1,5,6,52,46
50,1,4,5,51,46
50,1,3,4,53,47
50,1,2,3,54,47
50,1,1,2,55,48
50,1,0,1,56,49
50,1,0,-1,57,50
51,0,8,9,48,43
51,0,7,8,49,43
51,0,6,7,50,46
51,0,5,6,52,46
51,0,4,5,51,46
51,0,3,4,53,47
51,0,2,3,54,47
51,0,1,2,55,48
51,0,0,1,56,49
51,0,0,-1,57,50
51,0,-1,-2,59,51
51,0,-2,-3,58,51
51,1,8,9,49,43
51,1,7,8,50,46
51,1,6,7,52,46
51,1,5,6,51,46
51,1,4,5,53,47
51,1,3,4,54,47
51,1,2,3,55,48
51,1,1,2,56,49
51,1,0,1,57,50
51,1,0,-1,59,51
51,1,-1,-2,58,51
52,0,8,9,49,43
52,0,7,8,50,46
52,0,6,7,52,46
52,0,5,6,51,46
52,0,4,5,53,47
52,0,3,4,54,47
52,0,2,3,55,48
52,0,1,2,56,49
52,0,0,1,57,50
52,0,0,-1,59,51
52,0,-1,-2,58,51
52,0,-2,-3,60,52
52,1,8,9,50,46
52,1,7,8,52,46
52,1,6,7,51,46
52,1,5,6,54,47
52,1,4,5,53,47
